"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2015-03"",0.75,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2015-04"",0.93,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2015-05"",1.26,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2015-06"",1.26,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2015-07"",1.18,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2015-08"",1.46,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2015-09"",1.24,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2015-10"",1.11,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2015-11"",1,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2015-12"",1.15,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2016-01"",0.96,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2016-02"",0.88,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2016-03"",0.73,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2016-04"",0.96,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2016-05"",0.76,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2016-06"",0.52,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2016-07"",0.43,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2016-08"",0.43,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2016-09"",0.32,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2016-10"",0.64,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2016-11"",0.88,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2016-12"",0.74,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2017-01"",1.16,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2017-02"",0.88,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2017-03"",0.98,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2017-04"",0.84,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2017-05"",0.76,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2017-06"",0.86,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2017-07"",0.83,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2017-08"",0.67,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2017-09"",0.72,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2017-10"",0.57,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2017-11"",0.58,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2017-12"",0.66,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2018-01"",1.13,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2018-02"",1.08,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2018-03"",0.9,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2018-04"",0.96,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2018-05"",0.94,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2018-06"",0.8,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2018-07"",0.9,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2018-08"",0.85,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2018-09"",0.98,"
"IRL,""LTINT"",""TOT"",""PC_PA"",""M"",""2018-10"",0.95,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2000-05"",6.465652,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2000-06"",6.172381,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2000-07"",6.161905,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2000-08"",6.227391,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2000-09"",6.13619,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2000-10"",6.107955,"
"AUS,""LTINT"",""TOT"",""PC_PA"",""M"",""2000-11"",5.989545,"
